shell_radius,shell_thickness,gap_angle,shell_stiffness
1.5,0.01,10,4630000000
1.5,0.01,20,2402000000
1.5,0.01,30,1350000000
1.5,0.01,40,891000000
1.5,0.01,50,653000000
1.5,0.01,60,458000000
1.5,0.01,70,345000000
1.5,0.01,80,276000000
1.5,0.01,90,212000000
1.5,0.01,100,169000000
1.5,0.01,110,140000000
1.5,0.01,120,111000000
1.5,0.01,130,90000000
1.5,0.01,140,76000000
1.5,0.01,150,60000000
1.5,0.01,160,48000000
1.5,0.01,170,40000000
1.5,0.01,180,31000000
1.5,0.02,10,8651000000
1.5,0.02,20,4719000000
1.5,0.02,30,2803000000
1.5,0.02,40,1931000000
1.5,0.02,50,1462000000
1.5,0.02,60,1052000000
1.5,0.02,70,802000000
1.5,0.02,80,647000000
1.5,0.02,90,495000000
1.5,0.02,100,393000000
1.5,0.02,110,326000000
1.5,0.02,120,256000000
1.5,0.02,130,206000000
1.5,0.02,140,172000000
1.5,0.02,150,135000000
1.5,0.02,160,108000000
1.5,0.02,170,90000000
1.5,0.02,180,69000000
1.5,0.03,10,12531000000
1.5,0.03,20,6925000000
1.5,0.03,30,4182000000
1.5,0.03,40,2933000000
1.5,0.03,50,2257000000
1.5,0.03,60,1654000000
1.5,0.03,70,1276000000
1.5,0.03,80,1037000000
1.5,0.03,90,800000000
1.5,0.03,100,639000000
1.5,0.03,110,530000000
1.5,0.03,120,416000000
1.5,0.03,130,336000000
1.5,0.03,140,280000000
1.5,0.03,150,220000000
1.5,0.03,160,176000000
1.5,0.03,170,145000000
1.5,0.03,180,112000000
1.5,0.04,10,16287000000
1.5,0.04,20,9091000000
1.5,0.04,30,5540000000
1.5,0.04,40,3928000000
1.5,0.04,50,3048000000
1.5,0.04,60,2258000000
1.5,0.04,70,1759000000
1.5,0.04,80,1438000000
1.5,0.04,90,1117000000
1.5,0.04,100,895000000
1.5,0.04,110,744000000
1.5,0.04,120,587000000
1.5,0.04,130,473000000
1.5,0.04,140,395000000
1.5,0.04,150,310000000
1.5,0.04,160,248000000
1.5,0.04,170,205000000
1.5,0.04,180,158000000
1.5,0.05,10,19920000000
1.5,0.05,20,11223000000
1.5,0.05,30,6892000000
1.5,0.05,40,4921000000
1.5,0.05,50,3839000000
1.5,0.05,60,2866000000
1.5,0.05,70,2247000000
1.5,0.05,80,1845000000
1.5,0.05,90,1440000000
1.5,0.05,100,1158000000
1.5,0.05,110,965000000
1.5,0.05,120,762000000
1.5,0.05,130,616000000
1.5,0.05,140,514000000
1.5,0.05,150,403000000
1.5,0.05,160,323000000
1.5,0.05,170,266000000
1.5,0.05,180,205000000
1.5,0.06,10,23364000000
1.5,0.06,20,13316000000
1.5,0.06,30,8237000000
1.5,0.06,40,5910000000
1.5,0.06,50,4630000000
1.5,0.06,60,3477000000
1.5,0.06,70,2738000000
1.5,0.06,80,2256000000
1.5,0.06,90,1767000000
1.5,0.06,100,1426000000
1.5,0.06,110,1190000000
1.5,0.06,120,942000000
1.5,0.06,130,762000000
1.5,0.06,140,635000000
1.5,0.06,150,499000000
1.5,0.06,160,399000000
1.5,0.06,170,328000000
1.5,0.06,180,253000000
1.5,0.07,10,26667000000
1.5,0.07,20,15361000000
1.5,0.07,30,9560000000
1.5,0.07,40,6897000000
1.5,0.07,50,5420000000
1.5,0.07,60,4087000000
1.5,0.07,70,3231000000
1.5,0.07,80,2669000000
1.5,0.07,90,2097000000
1.5,0.07,100,1695000000
1.5,0.07,110,1418000000
1.5,0.07,120,1123000000
1.5,0.07,130,909000000
1.5,0.07,140,758000000
1.5,0.07,150,595000000
1.5,0.07,160,476000000
1.5,0.07,170,392000000
1.5,0.07,180,301000000
1.5,0.08,10,29851000000
1.5,0.08,20,17361000000
1.5,0.08,30,10870000000
1.5,0.08,40,7874000000
1.5,0.08,50,6203000000
1.5,0.08,60,4695000000
1.5,0.08,70,3723000000
1.5,0.08,80,3082000000
1.5,0.08,90,2427000000
1.5,0.08,100,1967000000
1.5,0.08,110,1646000000
1.5,0.08,120,1305000000
1.5,0.08,130,1058000000
1.5,0.08,140,882000000
1.5,0.08,150,693000000
1.5,0.08,160,554000000
1.5,0.08,170,455000000
1.5,0.08,180,349000000
1.5,0.09,10,32787000000
1.5,0.09,20,19342000000
1.5,0.09,30,12165000000
1.5,0.09,40,8842000000
1.5,0.09,50,6983000000
1.5,0.09,60,5299000000
1.5,0.09,70,4214000000
1.5,0.09,80,3494000000
1.5,0.09,90,2757000000
1.5,0.09,100,2238000000
1.5,0.09,110,1875000000
1.5,0.09,120,1488000000
1.5,0.09,130,1207000000
1.5,0.09,140,1006000000
1.5,0.09,150,790000000
1.5,0.09,160,632000000
1.5,0.09,170,519000000
1.5,0.09,180,398000000
1.5,0.1,10,35714000000
1.5,0.1,20,21231000000
1.5,0.1,30,13441000000
1.5,0.1,40,9804000000
1.5,0.1,50,7758000000
1.5,0.1,60,5903000000
1.5,0.1,70,4704000000
1.5,0.1,80,3905000000
1.5,0.1,90,3087000000
1.5,0.1,100,2509000000
1.5,0.1,110,2103000000
1.5,0.1,120,1671000000
1.5,0.1,130,1356000000
1.5,0.1,140,1131000000
1.5,0.1,150,888000000
1.5,0.1,160,710000000
1.5,0.1,170,583000000
1.5,0.1,180,446000000
1.5,0.11,10,38314000000
1.5,0.11,20,23095000000
1.5,0.11,30,14706000000
1.5,0.11,40,10753000000
1.5,0.11,50,8525000000
1.5,0.11,60,6502000000
1.5,0.11,70,5189000000
1.5,0.11,80,4312000000
1.5,0.11,90,3415000000
1.5,0.11,100,2779000000
1.5,0.11,110,2332000000
1.5,0.11,120,1854000000
1.5,0.11,130,1505000000
1.5,0.11,140,1255000000
1.5,0.11,150,985000000
1.5,0.11,160,787000000
1.5,0.11,170,646000000
1.5,0.11,180,494000000
1.5,0.12,10,40984000000
1.5,0.12,20,24876000000
1.5,0.12,30,15949000000
1.5,0.12,40,11696000000
1.5,0.12,50,9285000000
1.5,0.12,60,7092000000
1.5,0.12,70,5672000000
1.5,0.12,80,4719000000
1.5,0.12,90,3743000000
1.5,0.12,100,3049000000
1.5,0.12,110,2559000000
1.5,0.12,120,2035000000
1.5,0.12,130,1653000000
1.5,0.12,140,1379000000
1.5,0.12,150,1082000000
1.5,0.12,160,865000000
1.5,0.12,170,709000000
1.5,0.12,180,542000000
1.5,0.13,10,43478000000
1.5,0.13,20,26596000000
1.5,0.13,30,17153000000
1.5,0.13,40,12626000000
1.5,0.13,50,10040000000
1.5,0.13,60,7680000000
1.5,0.13,70,6150000000
1.5,0.13,80,5123000000
1.5,0.13,90,4067000000
1.5,0.13,100,3316000000
1.5,0.13,110,2785000000
1.5,0.13,120,2216000000
1.5,0.13,130,1801000000
1.5,0.13,140,1502000000
1.5,0.13,150,1179000000
1.5,0.13,160,942000000
1.5,0.13,170,772000000
1.5,0.13,180,590000000
1.5,0.14,10,45872000000
1.5,0.14,20,28329000000
1.5,0.14,30,18349000000
1.5,0.14,40,13532000000
1.5,0.14,50,10787000000
1.5,0.14,60,8264000000
1.5,0.14,70,6627000000
1.5,0.14,80,5525000000
1.5,0.14,90,4390000000
1.5,0.14,100,3582000000
1.5,0.14,110,3009000000
1.5,0.14,120,2396000000
1.5,0.14,130,1947000000
1.5,0.14,140,1624000000
1.5,0.14,150,1275000000
1.5,0.14,160,1019000000
1.5,0.14,170,835000000
1.5,0.14,180,637000000
1.5,0.15,10,48077000000
1.5,0.15,20,29940000000
1.5,0.15,30,19531000000
1.5,0.15,40,14451000000
1.5,0.15,50,11521000000
1.5,0.15,60,8842000000
1.5,0.15,70,7102000000
1.5,0.15,80,5924000000
1.5,0.15,90,4710000000
1.5,0.15,100,3846000000
1.5,0.15,110,3233000000
1.5,0.15,120,2575000000
1.5,0.15,130,2093000000
1.5,0.15,140,1746000000
1.5,0.15,150,1370000000
1.5,0.15,160,1095000000
1.5,0.15,170,897000000
1.5,0.15,180,684000000
2,0.01,10,3426000000
2,0.01,20,1741000000
2,0.01,30,962000000
2,0.01,40,632000000
2,0.01,50,462000000
2,0.01,60,328000000
2,0.01,70,253000000
2,0.01,80,206000000
2,0.01,90,162000000
2,0.01,100,133000000
2,0.01,110,113000000
2,0.01,120,92000000
2,0.01,130,76000000
2,0.01,140,65000000
2,0.01,150,52000000
2,0.01,160,42000000
2,0.01,170,35000000
2,0.01,180,27000000
2,0.02,10,6477000000
2,0.02,20,3490000000
2,0.02,30,2049000000
2,0.02,40,1400000000
2,0.02,50,1051000000
2,0.02,60,756000000
2,0.02,70,580000000
2,0.02,80,470000000
2,0.02,90,364000000
2,0.02,100,294000000
2,0.02,110,246000000
2,0.02,120,196000000
2,0.02,130,160000000
2,0.02,140,134000000
2,0.02,150,107000000
2,0.02,160,86000000
2,0.02,170,71000000
2,0.02,180,55000000
2,0.03,10,9407000000
2,0.03,20,5149000000
2,0.03,30,3083000000
2,0.03,40,2147000000
2,0.03,50,1635000000
2,0.03,60,1191000000
2,0.03,70,919000000
2,0.03,80,746000000
2,0.03,90,577000000
2,0.03,100,463000000
2,0.03,110,385000000
2,0.03,120,305000000
2,0.03,130,247000000
2,0.03,140,207000000
2,0.03,150,163000000
2,0.03,160,131000000
2,0.03,170,108000000
2,0.03,180,84000000
2,0.04,10,12285000000
2,0.04,20,6780000000
2,0.04,30,4100000000
2,0.04,40,2887000000
2,0.04,50,2217000000
2,0.04,60,1629000000
2,0.04,70,1265000000
2,0.04,80,1029000000
2,0.04,90,797000000
2,0.04,100,640000000
2,0.04,110,532000000
2,0.04,120,419000000
2,0.04,130,340000000
2,0.04,140,283000000
2,0.04,150,223000000
2,0.04,160,179000000
2,0.04,170,147000000
2,0.04,180,114000000
2,0.05,10,15106000000
2,0.05,20,8396000000
2,0.05,30,5115000000
2,0.05,40,3630000000
2,0.05,50,2803000000
2,0.05,60,2075000000
2,0.05,70,1619000000
2,0.05,80,1321000000
2,0.05,90,1026000000
2,0.05,100,824000000
2,0.05,110,685000000
2,0.05,120,540000000
2,0.05,130,437000000
2,0.05,140,364000000
2,0.05,150,286000000
2,0.05,160,229000000
2,0.05,170,189000000
2,0.05,180,146000000
2,0.06,10,17857000000
2,0.06,20,9990000000
2,0.06,30,6127000000
2,0.06,40,4374000000
2,0.06,50,3393000000
2,0.06,60,2526000000
2,0.06,70,1980000000
2,0.06,80,1620000000
2,0.06,90,1262000000
2,0.06,100,1016000000
2,0.06,110,845000000
2,0.06,120,667000000
2,0.06,130,540000000
2,0.06,140,449000000
2,0.06,150,353000000
2,0.06,160,283000000
2,0.06,170,233000000
2,0.06,180,179000000
2,0.07,10,20492000000
2,0.07,20,11561000000
2,0.07,30,7133000000
2,0.07,40,5120000000
2,0.07,50,3986000000
2,0.07,60,2981000000
2,0.07,70,2346000000
2,0.07,80,1924000000
2,0.07,90,1503000000
2,0.07,100,1213000000
2,0.07,110,1009000000
2,0.07,120,798000000
2,0.07,130,646000000
2,0.07,140,537000000
2,0.07,150,422000000
2,0.07,160,338000000
2,0.07,170,278000000
2,0.07,180,214000000
2,0.08,10,23095000000
2,0.08,20,13123000000
2,0.08,30,8137000000
2,0.08,40,5865000000
2,0.08,50,4579000000
2,0.08,60,3438000000
2,0.08,70,2715000000
2,0.08,80,2231000000
2,0.08,90,1748000000
2,0.08,100,1413000000
2,0.08,110,1177000000
2,0.08,120,931000000
2,0.08,130,755000000
2,0.08,140,628000000
2,0.08,150,493000000
2,0.08,160,395000000
2,0.08,170,324000000
2,0.08,180,249000000
2,0.09,10,25575000000
2,0.09,20,14641000000
2,0.09,30,9132000000
2,0.09,40,6605000000
2,0.09,50,5171000000
2,0.09,60,3896000000
2,0.09,70,3085000000
2,0.09,80,2540000000
2,0.09,90,1994000000
2,0.09,100,1616000000
2,0.09,110,1347000000
2,0.09,120,1066000000
2,0.09,130,865000000
2,0.09,140,720000000
2,0.09,150,565000000
2,0.09,160,453000000
2,0.09,170,372000000
2,0.09,180,285000000
2,0.1,10,27933000000
2,0.1,20,16155000000
2,0.1,30,10111000000
2,0.1,40,7342000000
2,0.1,50,5760000000
2,0.1,60,4352000000
2,0.1,70,3455000000
2,0.1,80,2850000000
2,0.1,90,2242000000
2,0.1,100,1819000000
2,0.1,110,1518000000
2,0.1,120,1203000000
2,0.1,130,976000000
2,0.1,140,812000000
2,0.1,150,638000000
2,0.1,160,511000000
2,0.1,170,419000000
2,0.1,180,321000000
2,0.11,10,30303000000
2,0.11,20,17637000000
2,0.11,30,11086000000
2,0.11,40,8078000000
2,0.11,50,6345000000
2,0.11,60,4808000000
2,0.11,70,3826000000
2,0.11,80,3159000000
2,0.11,90,2489000000
2,0.11,100,2023000000
2,0.11,110,1689000000
2,0.11,120,1340000000
2,0.11,130,1088000000
2,0.11,140,905000000
2,0.11,150,711000000
2,0.11,160,570000000
2,0.11,170,467000000
2,0.11,180,358000000
2,0.12,10,32468000000
2,0.12,20,19084000000
2,0.12,30,12048000000
2,0.12,40,8803000000
2,0.12,50,6930000000
2,0.12,60,5260000000
2,0.12,70,4195000000
2,0.12,80,3467000000
2,0.12,90,2737000000
2,0.12,100,2227000000
2,0.12,110,1861000000
2,0.12,120,1477000000
2,0.12,130,1200000000
2,0.12,140,998000000
2,0.12,150,784000000
2,0.12,160,628000000
2,0.12,170,514000000
2,0.12,180,394000000
2,0.13,10,34602000000
2,0.13,20,20492000000
2,0.13,30,13004000000
2,0.13,40,9524000000
2,0.13,50,7508000000
2,0.13,60,5711000000
2,0.13,70,4562000000
2,0.13,80,3775000000
2,0.13,90,2984000000
2,0.13,100,2431000000
2,0.13,110,2032000000
2,0.13,120,1614000000
2,0.13,130,1312000000
2,0.13,140,1092000000
2,0.13,150,857000000
2,0.13,160,687000000
2,0.13,170,562000000
2,0.13,180,430000000
2,0.14,10,36630000000
2,0.14,20,21882000000
2,0.14,30,13947000000
2,0.14,40,10235000000
2,0.14,50,8084000000
2,0.14,60,6161000000
2,0.14,70,4929000000
2,0.14,80,4082000000
2,0.14,90,3230000000
2,0.14,100,2634000000
2,0.14,110,2203000000
2,0.14,120,1751000000
2,0.14,130,1424000000
2,0.14,140,1185000000
2,0.14,150,930000000
2,0.14,160,745000000
2,0.14,170,610000000
2,0.14,180,467000000
2,0.15,10,38610000000
2,0.15,20,23256000000
2,0.15,30,14881000000
2,0.15,40,10941000000
2,0.15,50,8658000000
2,0.15,60,6605000000
2,0.15,70,5291000000
2,0.15,80,4388000000
2,0.15,90,3476000000
2,0.15,100,2836000000
2,0.15,110,2374000000
2,0.15,120,1887000000
2,0.15,130,1536000000
2,0.15,140,1277000000
2,0.15,150,1003000000
2,0.15,160,804000000
2,0.15,170,657000000
2,0.15,180,503000000
2.5,0.01,10,2706000000
2.5,0.01,20,1354000000
2.5,0.01,30,740000000
2.5,0.01,40,488000000
2.5,0.01,50,360000000
2.5,0.01,60,262000000
2.5,0.01,70,207000000
2.5,0.01,80,172000000
2.5,0.01,90,139000000
2.5,0.01,100,117000000
2.5,0.01,110,101000000
2.5,0.01,120,83000000
2.5,0.01,130,70000000
2.5,0.01,140,60000000
2.5,0.01,150,48000000
2.5,0.01,160,39000000
2.5,0.01,170,32000000
2.5,0.01,180,24000000
2.5,0.02,10,5160000000
2.5,0.02,20,2756000000
2.5,0.02,30,1604000000
2.5,0.02,40,1093000000
2.5,0.02,50,820000000
2.5,0.02,60,595000000
2.5,0.02,70,463000000
2.5,0.02,80,380000000
2.5,0.02,90,301000000
2.5,0.02,100,248000000
2.5,0.02,110,211000000
2.5,0.02,120,171000000
2.5,0.02,130,142000000
2.5,0.02,140,120000000
2.5,0.02,150,96000000
2.5,0.02,160,78000000
2.5,0.02,170,64000000
2.5,0.02,180,49000000
2.5,0.03,10,7519000000
2.5,0.03,20,4088000000
2.5,0.03,30,2433000000
2.5,0.03,40,1690000000
2.5,0.03,50,1284000000
2.5,0.03,60,939000000
2.5,0.03,70,732000000
2.5,0.03,80,599000000
2.5,0.03,90,470000000
2.5,0.03,100,384000000
2.5,0.03,110,323000000
2.5,0.03,120,259000000
2.5,0.03,130,213000000
2.5,0.03,140,180000000
2.5,0.03,150,143000000
2.5,0.03,160,115000000
2.5,0.03,170,95000000
2.5,0.03,180,73000000
2.5,0.04,10,9843000000
2.5,0.04,20,5394000000
2.5,0.04,30,3247000000
2.5,0.04,40,2282000000
2.5,0.04,50,1747000000
2.5,0.04,60,1286000000
2.5,0.04,70,1004000000
2.5,0.04,80,820000000
2.5,0.04,90,642000000
2.5,0.04,100,521000000
2.5,0.04,110,437000000
2.5,0.04,120,348000000
2.5,0.04,130,285000000
2.5,0.04,140,239000000
2.5,0.04,150,189000000
2.5,0.04,160,152000000
2.5,0.04,170,125000000
2.5,0.04,180,96000000
2.5,0.05,10,12121000000
2.5,0.05,20,6689000000
2.5,0.05,30,4057000000
2.5,0.05,40,2874000000
2.5,0.05,50,2210000000
2.5,0.05,60,1635000000
2.5,0.05,70,1279000000
2.5,0.05,80,1046000000
2.5,0.05,90,817000000
2.5,0.05,100,662000000
2.5,0.05,110,553000000
2.5,0.05,120,439000000
2.5,0.05,130,358000000
2.5,0.05,140,299000000
2.5,0.05,150,236000000
2.5,0.05,160,190000000
2.5,0.05,170,156000000
2.5,0.05,180,120000000
2.5,0.06,10,14368000000
2.5,0.06,20,7974000000
2.5,0.06,30,4866000000
2.5,0.06,40,3466000000
2.5,0.06,50,2676000000
2.5,0.06,60,1987000000
2.5,0.06,70,1559000000
2.5,0.06,80,1275000000
2.5,0.06,90,996000000
2.5,0.06,100,806000000
2.5,0.06,110,672000000
2.5,0.06,120,533000000
2.5,0.06,130,433000000
2.5,0.06,140,361000000
2.5,0.06,150,284000000
2.5,0.06,160,229000000
2.5,0.06,170,188000000
2.5,0.06,180,144000000
2.5,0.07,10,16556000000
2.5,0.07,20,9242000000
2.5,0.07,30,5672000000
2.5,0.07,40,4062000000
2.5,0.07,50,3145000000
2.5,0.07,60,2344000000
2.5,0.07,70,1843000000
2.5,0.07,80,1509000000
2.5,0.07,90,1179000000
2.5,0.07,100,954000000
2.5,0.07,110,794000000
2.5,0.07,120,629000000
2.5,0.07,130,511000000
2.5,0.07,140,426000000
2.5,0.07,150,335000000
2.5,0.07,160,269000000
2.5,0.07,170,221000000
2.5,0.07,180,170000000
2.5,0.08,10,18727000000
2.5,0.08,20,10504000000
2.5,0.08,30,6477000000
2.5,0.08,40,4655000000
2.5,0.08,50,3614000000
2.5,0.08,60,2702000000
2.5,0.08,70,2131000000
2.5,0.08,80,1746000000
2.5,0.08,90,1366000000
2.5,0.08,100,1106000000
2.5,0.08,110,920000000
2.5,0.08,120,728000000
2.5,0.08,130,592000000
2.5,0.08,140,492000000
2.5,0.08,150,387000000
2.5,0.08,160,311000000
2.5,0.08,170,255000000
2.5,0.08,180,196000000
2.5,0.09,10,20790000000
2.5,0.09,20,11751000000
2.5,0.09,30,7278000000
2.5,0.09,40,5249000000
2.5,0.09,50,4085000000
2.5,0.09,60,3063000000
2.5,0.09,70,2421000000
2.5,0.09,80,1985000000
2.5,0.09,90,1555000000
2.5,0.09,100,1260000000
2.5,0.09,110,1049000000
2.5,0.09,120,830000000
2.5,0.09,130,674000000
2.5,0.09,140,561000000
2.5,0.09,150,440000000
2.5,0.09,160,354000000
2.5,0.09,170,290000000
2.5,0.09,180,223000000
2.5,0.1,10,22831000000
2.5,0.1,20,12987000000
2.5,0.1,30,8071000000
2.5,0.1,40,5845000000
