rxn	rxn_kegg	ec_code	ec_codes	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes	uniprot	catalytic_enzyme	warning_ec	warning_enz	kcat	db	penalty_score	kcat_substrate	kcat_organism	kcat_enzyme	kcat_temperature	kcat_ph	kcat_variant	kcat_id_percent	kcat_organism_score
ACALD	R00228	1.2.1.10	1.2.1.10	forward	Acetaldehyde;Coenzyme A;Nicotinamide adenine dinucleotide	C00084;C00010;C00003	Acetyl-CoA;H+;Nicotinamide adenine dinucleotide - reduced	C00024;C00080;C00004	b0351	P77580	P77580			15.7	brenda	4.0	acetaldehyde	Escherichia coli		25.0	8.0			0.0
ACALD	R00228	1.2.1.10	1.2.1.10	forward	Acetaldehyde;Coenzyme A;Nicotinamide adenine dinucleotide	C00084;C00010;C00003	Acetyl-CoA;H+;Nicotinamide adenine dinucleotide - reduced	C00024;C00080;C00004	b1241	P0A9Q7	P0A9Q7			15.7	brenda	4.0	acetaldehyde	Escherichia coli		25.0	8.0			0.0
NADTRHD	R00112	1.6.1.2	1.6.1.1;1.6.1.2;1.6.1.3	forward	Nicotinamide adenine dinucleotide;Nicotinamide adenine dinucleotide phosphate - reduced	C00003;C00005	Nicotinamide adenine dinucleotide - reduced;Nicotinamide adenine dinucleotide phosphate	C00004;C00006	b3962	P27306	P27306	transferred		259.5	brenda	5.0	thio-NAD+	Escherichia coli	P27306	35.0	7.5		100.0	0.0
PGI		5.3.1.9	5.3.1.9	forward	D-Glucose 6-phosphate	C00092	D-Fructose 6-phosphate	C05345	b4025	P0A6T1	P0A6T1			1000.0	brenda	5.0	D-glucose 6-phosphate	Homo sapiens	P06744	30.0	7.5	wildtype	51.23	8.0
PGI		5.3.1.9	5.3.1.9	reverse	D-Fructose 6-phosphate	C05345	D-Glucose 6-phosphate	C00092	b4025	P0A6T1	P0A6T1			650.0	brenda	5.0	D-fructose 6-phosphate	Homo sapiens	P06744	30.0	7.5	wildtype	51.23	8.0
GND	R01528	1.1.1.44	1.1.1.351;1.1.1.44	forward	6-Phospho-D-gluconate;Nicotinamide adenine dinucleotide phosphate	C00345;C00006	CO2 CO2;Nicotinamide adenine dinucleotide phosphate - reduced;D-Ribulose 5-phosphate	C00011;C00005;C00199	b2029	P00350	P00350			64.5	brenda	5.0	6-phospho-D-gluconate	Synechocystis sp.	P52208	32.0	7.3	wildtype	45.48	7.0
ENO	R00658	4.2.1.11	4.2.1.11	forward	D-Glycerate 2-phosphate	C00631	H2O H2O;Phosphoenolpyruvate	C00001;C00074	b2779	P0A6P9	P0A6P9			60.6	sabio_rk	5.0	2-Phospho-D-glycerate	Oryctolagus cuniculus	P25704	25.0	6.1	wildtype	43.85	8.0
ALCD2x	R00754	1.1.1.1	1.1.1.1;1.1.1.71	forward	Ethanol;Nicotinamide adenine dinucleotide	C00469;C00003	Acetaldehyde;H+;Nicotinamide adenine dinucleotide - reduced	C00084;C00080;C00004	b1478	P39451	P39451			0.0492	brenda	5.0	ethanol	Geobacillus stearothermophilus	P42328	32.5	8.0	wildtype	42.11	7.0
TKT1		2.2.1.1	2.2.1.1	forward	Alpha-D-Ribose 5-phosphate;D-Xylulose 5-phosphate	C03736;C00231	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	b2465	P33570	P33570			46.3	sabio_rk	5.0	D-Xylulose 5-phosphate;D-Ribose 5-phosphate	Saccharomyces cerevisiae	P23254	25.0	7.6	wildtype	38.3	8.0
TKT2	R01830	2.2.1.1	2.2.1.1	forward	D-Erythrose 4-phosphate;D-Xylulose 5-phosphate	C00279;C00231	D-Fructose 6-phosphate;Glyceraldehyde 3-phosphate	C05345;C00661	b2465	P33570	P33570			46.3	sabio_rk	5.0	D-Xylulose 5-phosphate;D-Ribose 5-phosphate	Saccharomyces cerevisiae	P23254	25.0	7.6	wildtype	38.3	8.0
TPI	R01015	5.3.1.1	5.3.1.1	forward	Dihydroxyacetone phosphate	C00111	Glyceraldehyde 3-phosphate	C00661	b3919	P0A858	P0A858			600.0	sabio_rk	5.0	Glycerone phosphate	Gallus gallus	P00940	30.0	7.6	wildtype	38.19	8.0
ALCD2x	R00754	1.1.1.1	1.1.1.1;1.1.1.71	forward	Ethanol;Nicotinamide adenine dinucleotide	C00469;C00003	Acetaldehyde;H+;Nicotinamide adenine dinucleotide - reduced	C00084;C00080;C00004	b0356	P25437	P25437			0.14	sabio_rk	5.0	Ethanol;NAD+	Homo sapiens	P00325	25.0	7.5	wildtype	37.78	8.0
TKT1		2.2.1.1	2.2.1.1	reverse	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	Alpha-D-Ribose 5-phosphate;D-Xylulose 5-phosphate	C03736;C00231	b2465	P33570	P33570			28.642	brenda	5.0	sedoheptulose 7-phosphate	Scheffersomyces stipitis	P34736	25.0	8.0	wildtype	37.56	8.0
TKT2	R01830	2.2.1.1	2.2.1.1	reverse	D-Fructose 6-phosphate;Glyceraldehyde 3-phosphate	C05345;C00661	D-Erythrose 4-phosphate;D-Xylulose 5-phosphate	C00279;C00231	b2465	P33570	P33570			26.87	brenda	5.0	D-fructose 6-phosphate	Scheffersomyces stipitis	P34736	25.0	8.0	wildtype	37.56	8.0
TKT1		2.2.1.1	2.2.1.1	forward	Alpha-D-Ribose 5-phosphate;D-Xylulose 5-phosphate	C03736;C00231	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	b2935	P27302	P27302			46.3	sabio_rk	5.0	D-Xylulose 5-phosphate;D-Ribose 5-phosphate	Saccharomyces cerevisiae	P23254	25.0	7.6	wildtype	37.32	8.0
TKT2	R01830	2.2.1.1	2.2.1.1	forward	D-Erythrose 4-phosphate;D-Xylulose 5-phosphate	C00279;C00231	D-Fructose 6-phosphate;Glyceraldehyde 3-phosphate	C05345;C00661	b2935	P27302	P27302			46.3	sabio_rk	5.0	D-Xylulose 5-phosphate;D-Ribose 5-phosphate	Saccharomyces cerevisiae	P23254	25.0	7.6	wildtype	37.32	8.0
ALCD2x	R00754	1.1.1.1	1.1.1.1;1.1.1.71	reverse	Acetaldehyde;H+;Nicotinamide adenine dinucleotide - reduced	C00084;C00080;C00004	Ethanol;Nicotinamide adenine dinucleotide	C00469;C00003	b0356	P25437	P25437			0.13	sabio_rk	5.0	5beta-Androstane-17beta-ol-3-one;H+;NADH	Homo sapiens	P00326	37.0	7.3	wildtype	37.27	8.0
TKT1		2.2.1.1	2.2.1.1	reverse	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	Alpha-D-Ribose 5-phosphate;D-Xylulose 5-phosphate	C03736;C00231	b2935	P27302	P27302			28.642	brenda	5.0	sedoheptulose 7-phosphate	Scheffersomyces stipitis	P34736	25.0	8.0	wildtype	36.87	8.0
TKT2	R01830	2.2.1.1	2.2.1.1	reverse	D-Fructose 6-phosphate;Glyceraldehyde 3-phosphate	C05345;C00661	D-Erythrose 4-phosphate;D-Xylulose 5-phosphate	C00279;C00231	b2935	P27302	P27302			26.87	brenda	5.0	D-fructose 6-phosphate	Scheffersomyces stipitis	P34736	25.0	8.0	wildtype	36.87	8.0
ME1	R00214	1.1.1.38	1.1.1.38;1.1.1.39	forward	L-Malate;Nicotinamide adenine dinucleotide	C00149;C00003	CO2 CO2;Nicotinamide adenine dinucleotide - reduced;Pyruvate	C00011;C00004;C00022	b1479	P26616	P26616			207.9	sabio_rk	5.0	L-Malate;NAD+	Homo sapiens	P23368	30.0	7.4	wildtype	32.99	8.0
PGK	R01512	2.7.2.3	2.7.2.3	reverse	3-Phospho-D-glyceroyl phosphate;ADP C10H12N5O10P2	C00236;C00008	3-Phospho-D-glycerate;ATP C10H12N5O13P3	C00197;C00002	b2926	P0A799	P0A799			33.1333	sabio_rk	5.0	ADP;3-Phospho-D-glyceroyl phosphate	Rattus norvegicus	P16617	30.0	6.9	wildtype	32.45	8.0
ICL	R00479	4.1.3.1	4.1.3.1	forward	Isocitrate	C00311	Glyoxylate;Succinate	C00048;C00042	b4015	P0A9G6	P0A9G6			17.6	brenda	5.0	isocitrate	Pyricularia oryzae	P0CT06	37.0	7.0	wildtype	29.93	8.0
LDH_D	R00704	1.1.1.28	1.1.1.28	forward	D-Lactate;Nicotinamide adenine dinucleotide	C00256;C00003	H+;Nicotinamide adenine dinucleotide - reduced;Pyruvate	C00080;C00004;C00022	b1380	P52643	P52643			260.0	sabio_rk	5.0	D-Lactate;NAD+	Lactobacillus plantarum	Q88VJ2	30.0	7.5	wildtype	29.61	10.0
ALCD2x	R00754	1.1.1.1	1.1.1.1;1.1.1.71	reverse	Acetaldehyde;H+;Nicotinamide adenine dinucleotide - reduced	C00084;C00080;C00004	Ethanol;Nicotinamide adenine dinucleotide	C00469;C00003	b1478	P39451	P39451			0.13	sabio_rk	5.0	5beta-Androstane-17beta-ol-3-one;H+;NADH	Homo sapiens	P00326	37.0	7.3	wildtype	27.88	8.0
TALA	R01827	2.2.1.2	2.2.1.2	reverse	D-Erythrose 4-phosphate;D-Fructose 6-phosphate	C00279;C05345	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	b2464	P0A867	P0A867			13.86	brenda	5.0	D-fructose 6-phosphate	Thermoplasma acidophilum	Q9HKI3	30.0	7.5	wildtype	26.53	8.0
TALA	R01827	2.2.1.2	2.2.1.2	reverse	D-Erythrose 4-phosphate;D-Fructose 6-phosphate	C00279;C05345	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	b0008	P0A870	P0A870			13.86	brenda	5.0	D-fructose 6-phosphate	Thermoplasma acidophilum	Q9HKI3	30.0	7.5	wildtype	25.29	8.0
ME2	R00216	1.1.1.40	1.1.1.40	forward	L-Malate;Nicotinamide adenine dinucleotide phosphate	C00149;C00006	CO2 CO2;Nicotinamide adenine dinucleotide phosphate - reduced;Pyruvate	C00011;C00005;C00022	b2463	P76558	P76558			369.0	sabio_rk	5.0	L-Malate;NADP+	Columba livia	P40927	30.0	7.4	wildtype	22.65	8.0
LDH_D	R00704	1.1.1.28	1.1.1.28	forward	D-Lactate;Nicotinamide adenine dinucleotide	C00256;C00003	H+;Nicotinamide adenine dinucleotide - reduced;Pyruvate	C00080;C00004;C00022	b2133	P06149	P06149			260.0	sabio_rk	5.0	D-Lactate;NAD+	Lactobacillus plantarum	Q88VJ2	30.0	7.5	wildtype	22.52	10.0
PGL	R02035	3.1.1.31	3.1.1.31	forward	6-phospho-D-glucono-1,5-lactone;H2O H2O	C01236;C00001	6-Phospho-D-gluconate;H+	C00345;C00080	b0767	P52697	P52697			14.3	sabio_rk	5.0	6-Phospho-D-glucono-1,5-lactone;H2O	Bos taurus	Q2TBQ8	25.0	7.4	wildtype	21.69	8.0
ALCD2x	R00754	1.1.1.1	1.1.1.1;1.1.1.71	forward	Ethanol;Nicotinamide adenine dinucleotide	C00469;C00003	Acetaldehyde;H+;Nicotinamide adenine dinucleotide - reduced	C00084;C00080;C00004	b1241	P0A9Q7	P0A9Q7			0.0492	brenda	5.0	ethanol	Geobacillus stearothermophilus	P42328	32.5	8.0	wildtype	20.0	7.0
ALCD2x	R00754	1.1.1.1	1.1.1.1;1.1.1.71	reverse	Acetaldehyde;H+;Nicotinamide adenine dinucleotide - reduced	C00084;C00080;C00004	Ethanol;Nicotinamide adenine dinucleotide	C00469;C00003	b1241	P0A9Q7	P0A9Q7			74.0	sabio_rk	5.0	H+;NADH;Acetaldehyde	Macaca mulatta	P28469	30.0	7.3	wildtype	20.0	8.0
SUCOAS	R00405	6.2.1.5	6.2.1.5	reverse	ADP C10H12N5O10P2;Phosphate;Succinyl-CoA	C00008;C00009;C00091	ATP C10H12N5O13P3;Coenzyme A;Succinate	C00002;C00010;C00042	b0728;b0729	P0A836;P0AGE9	P0A836;P0AGE9		multiple	26.7	brenda	5.0	CoA	Escherichia coli K-12	P0AGE9	30.0	7.4			0.0
TALA	R01827	2.2.1.2	2.2.1.2	forward	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	D-Erythrose 4-phosphate;D-Fructose 6-phosphate	C00279;C05345	b2464	P0A867	P0A867			13.0	brenda	5.0	glyceraldehyde 3-phosphate	Escherichia coli		30.0	8.5	wildtype		0.0
TALA	R01827	2.2.1.2	2.2.1.2	forward	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	D-Erythrose 4-phosphate;D-Fructose 6-phosphate	C00279;C05345	b0008	P0A870	P0A870			13.0	brenda	5.0	glyceraldehyde 3-phosphate	Escherichia coli		30.0	8.5	wildtype		0.0
GLUSy	R00114	1.4.1.13	1.4.1.13	forward	2-Oxoglutarate;L-Glutamine;H+;Nicotinamide adenine dinucleotide phosphate - reduced	C00026;C00064;C00080;C00005	L-Glutamate;Nicotinamide adenine dinucleotide phosphate	C00025;C00006	b3212;b3213	P09832;P09831	P09832;P09831		multiple	0.22	sabio_rk	5.0	NADH;Iodonitrotetrazolium;H+	Azospirillum brasilense	Q05756	25.0	7.5	wildtype		5.0
ATPM	R00086	3.6.1.3	3.6.1.15;3.6.1.3;3.6.1.5;3.6.1.8;3.6.3.11;3.6.4.11;3.6.4.6;3.6.4.7	forward	ATP C10H12N5O13P3;H2O H2O	C00002;C00001	ADP C10H12N5O10P2;H+;Phosphate	C00008;C00080;C00009					no_gpr	0.155	sabio_rk	5.0	H2O;ATP	Helicobacter pylori	O25711	30.0	6.0	wildtype		6.0
RPI		5.3.1.6	5.3.1.6	reverse	D-Ribulose 5-phosphate	C00199	Alpha-D-Ribose 5-phosphate	C03736	b4090	P37351	P37351			2.0	brenda	6.0	D-ribulose 5-phosphate	Trypanosoma cruzi	Q4CQE2	30.0	7.6		31.06	8.0
ACONTa	R01325	4.2.1.3	4.2.1.3	reverse	Cis-Aconitate;H2O H2O	C00417;C00001	Citrate	C00158	b1276	P25516	P25516			23.8	brenda	6.0	cis-aconitate	Homo sapiens	Q99798	25.0	7.4		26.78	8.0
ACONTb	R01900	4.2.1.3	4.2.1.3	forward	Cis-Aconitate;H2O H2O	C00417;C00001	Isocitrate	C00311	b1276	P25516	P25516			23.8	brenda	6.0	cis-aconitate	Homo sapiens	Q99798	25.0	7.4		26.78	8.0
ACONTb	R01900	4.2.1.3	4.2.1.3	reverse	Isocitrate	C00311	Cis-Aconitate;H2O H2O	C00417;C00001	b1276	P25516	P25516			14.1	brenda	6.0	isocitrate	Homo sapiens	Q99798	25.0	7.4		26.78	8.0
ACONTa	R01325	4.2.1.3	4.2.1.3	forward	Citrate	C00158	Cis-Aconitate;H2O H2O	C00417;C00001	b1276	P25516	P25516			10.2	brenda	6.0	citrate	Homo sapiens	Q99798	25.0	7.4		26.78	8.0
ACONTa	R01325	4.2.1.3	4.2.1.3	reverse	Cis-Aconitate;H2O H2O	C00417;C00001	Citrate	C00158	b0118	P36683	P36683			23.8	brenda	6.0	cis-aconitate	Homo sapiens	Q99798	25.0	7.4		23.31	8.0
ACONTb	R01900	4.2.1.3	4.2.1.3	forward	Cis-Aconitate;H2O H2O	C00417;C00001	Isocitrate	C00311	b0118	P36683	P36683			23.8	brenda	6.0	cis-aconitate	Homo sapiens	Q99798	25.0	7.4		23.31	8.0
ACONTb	R01900	4.2.1.3	4.2.1.3	reverse	Isocitrate	C00311	Cis-Aconitate;H2O H2O	C00417;C00001	b0118	P36683	P36683			14.1	brenda	6.0	isocitrate	Homo sapiens	Q99798	25.0	7.4		23.31	8.0
ACONTa	R01325	4.2.1.3	4.2.1.3	forward	Citrate	C00158	Cis-Aconitate;H2O H2O	C00417;C00001	b0118	P36683	P36683			10.2	brenda	6.0	citrate	Homo sapiens	Q99798	25.0	7.4		23.31	8.0
PFL	R00212	2.3.1.54	2.3.1.54	forward	Coenzyme A;Pyruvate	C00010;C00022	Acetyl-CoA;Formate	C00024;C00058	b0902;b0903;b2579	P68066;P0A9N4;P09373	P09373			12.8	brenda	6.0	pyruvate	Escherichia coli						0.0
PFL	R00212	2.3.1.54	2.3.1.54	forward	Coenzyme A;Pyruvate	C00010;C00022	Acetyl-CoA;Formate	C00024;C00058	b0902;b0903	P0A9N4;P09373	P09373			12.8	brenda	6.0	pyruvate	Escherichia coli						0.0
PFL	R00212	2.3.1.54	2.3.1.54	forward	Coenzyme A;Pyruvate	C00010;C00022	Acetyl-CoA;Formate	C00024;C00058	b0902;b3114	P42632;P0A9N4	P42632			12.8	brenda	6.0	pyruvate	Escherichia coli						0.0
PFL	R00212	2.3.1.54	2.3.1.54	forward	Coenzyme A;Pyruvate	C00010;C00022	Acetyl-CoA;Formate	C00024;C00058	b3951;b3952	P32674;P32675			none	12.8	brenda	6.0	pyruvate	Escherichia coli						0.0
PTAr	R00230	2.3.1.8	2.3.1.8	forward	Acetyl-CoA;Phosphate	C00024;C00009	Acetyl phosphate;Coenzyme A	C00227;C00010	b2458	P77218	P77218			1500.0	brenda	6.0	phosphate	Methanosarcina thermophila		25.0	7.2			8.0
RPI		5.3.1.6	5.3.1.6	forward	Alpha-D-Ribose 5-phosphate	C03736	D-Ribulose 5-phosphate	C00199	b4090	P37351	P37351			2100.0	sabio_rk	7.0	D-Ribose 5-phosphate	Escherichia coli	P0A7Z0	37.0	7.5	wildtype	23.91	0.0
ENO	R00658	4.2.1.11	4.2.1.11	reverse	H2O H2O;Phosphoenolpyruvate	C00001;C00074	D-Glycerate 2-phosphate	C00631	b2779	P0A6P9	P0A6P9			15.47	brenda	7.0	phosphoenolpyruvate	Klebsiella pneumoniae			7.8			2.0
PPS	R00199	2.7.9.2	2.7.9.2	forward	ATP C10H12N5O13P3;H2O H2O;Pyruvate	C00002;C00001;C00022	AMP C10H12N5O7P;H+;Phosphoenolpyruvate;Phosphate	C00020;C00080;C00074;C00009	b1702	P23538	P23538			0.683	brenda	8.0	pyruvate	Thermoproteus tenax	Q70WQ8	70.0	7.0		34.17	8.0
RPE	R01529	5.1.3.1	5.1.3.1	reverse	D-Xylulose 5-phosphate	C00231	D-Ribulose 5-phosphate	C00199	b3386	P0AG07	P0AG07			2.0	sabio_rk	8.0	D-Ribulose 5-phosphate	Escherichia coli	P32719		7.5	wildtype	31.03	0.0
RPE	R01529	5.1.3.1	5.1.3.1	reverse	D-Xylulose 5-phosphate	C00231	D-Ribulose 5-phosphate	C00199	b4301	P39362	P39362			2.0	sabio_rk	8.0	D-Ribulose 5-phosphate	Escherichia coli	P32719		7.5	wildtype	26.36	0.0
THD2		1.6.1.1	1.6.1.1	forward	H+;Nicotinamide adenine dinucleotide - reduced;Nicotinamide adenine dinucleotide phosphate	C00080;C00004;C00006	H+;Nicotinamide adenine dinucleotide;Nicotinamide adenine dinucleotide phosphate - reduced	C00080;C00003;C00005	b1602;b1603	P0AB67;P07001			none	259.5	brenda	8.0	thio-NAD+	Escherichia coli		35.0	7.5			0.0
NADTRHD	R00112	1.6.1.1	1.6.1.1;1.6.1.3	forward	Nicotinamide adenine dinucleotide;Nicotinamide adenine dinucleotide phosphate - reduced	C00003;C00005	Nicotinamide adenine dinucleotide - reduced;Nicotinamide adenine dinucleotide phosphate	C00004;C00006	b1602;b1603	P0AB67;P07001			none	259.5	brenda	8.0	thio-NAD+	Escherichia coli		35.0	7.5			0.0
ACALD	R00228	1.2.1.10	1.2.1.10	reverse	Acetyl-CoA;H+;Nicotinamide adenine dinucleotide - reduced	C00024;C00080;C00004	Acetaldehyde;Coenzyme A;Nicotinamide adenine dinucleotide	C00084;C00010;C00003	b0351	P77580	P77580			15.7	brenda	8.0	acetaldehyde	Escherichia coli		25.0	8.0			0.0
ACALD	R00228	1.2.1.10	1.2.1.10	reverse	Acetyl-CoA;H+;Nicotinamide adenine dinucleotide - reduced	C00024;C00080;C00004	Acetaldehyde;Coenzyme A;Nicotinamide adenine dinucleotide	C00084;C00010;C00003	b1241	P0A9Q7	P0A9Q7			15.7	brenda	8.0	acetaldehyde	Escherichia coli		25.0	8.0			0.0
ADK1	R00127	2.7.4.3	2.7.4.3	forward	AMP C10H12N5O7P;ATP C10H12N5O13P3	C00020;C00002	ADP C10H12N5O10P2	C00008	b0474	P69441	P69441			24.526	catapro									
ADK1	R00127	2.7.4.3	2.7.4.3	reverse	ADP C10H12N5O10P2	C00008	AMP C10H12N5O7P;ATP C10H12N5O13P3	C00020;C00002	b0474	P69441	P69441			28.5621	catapro									
AKGt2r				forward	2-Oxoglutarate;H+	C00026;C00080	2-Oxoglutarate;H+	C00026;C00080	b2587	P0AEX3	P0AEX3	missing		5.5058	catapro									
PIt2r				forward	H+;Phosphate	C00080;C00009	H+;Phosphate	C00080;C00009	b2987	P43676	P43676	missing		44.15	catapro									
PIt2r				forward	H+;Phosphate	C00080;C00009	H+;Phosphate	C00080;C00009	b3493	P0AFJ7	P0AFJ7	missing		44.5251	catapro									
SUCCt2_2				forward	H+;Succinate	C00080;C00042	H+;Succinate	C00080;C00042	b3528	P0A830	P0A830	missing		8.2668	catapro									
D_LACt2				forward	H+;D-Lactate	C00080;C00256	H+;D-Lactate	C00080;C00256	b2975	Q46839	Q46839	missing		66.0962	catapro									
D_LACt2				forward	H+;D-Lactate	C00080;C00256	H+;D-Lactate	C00080;C00256	b3603	P33231	P33231	missing		65.764	catapro									
FORt2				forward	Formate;H+	C00058;C00080	Formate;H+	C00058;C00080	b0904	P0AC23	P0AC23	missing		145.8368	catapro									
FORt2				forward	Formate;H+	C00058;C00080	Formate;H+	C00058;C00080	b2492	P77733	P77733	missing		7.2407	catapro									
FORt				forward	Formate	C00058	Formate	C00058	b0904	P0AC23	P0AC23	missing		145.8368	catapro									
FORt				forward	Formate	C00058	Formate	C00058	b2492	P77733	P77733	missing		7.7299	catapro									
FUMt2_2				forward	Fumarate;H+	C00122;C00080	Fumarate;H+	C00122;C00080	b3528	P0A830	P0A830	missing		20.6419	catapro									
GLUt2r				forward	L-Glutamate;H+	C00025;C00080	L-Glutamate;H+	C00025;C00080	b4077	P21345	P21345	missing		23.3748	catapro									
H2Ot				forward	H2O H2O	C00001	H2O H2O	C00001	b0875	P60844	P60844	missing		135.6818	catapro									
MALt2_2				forward	H+;L-Malate	C00080;C00149	H+;L-Malate	C00080;C00149	b3528	P0A830	P0A830	missing		17.7647	catapro									
NH4t				forward	Ammonium	C00014	Ammonium	C00014	b0451	P69681	P69681	missing		161.7661	catapro									
